mode,dataset,k,algo,algo_display,step,score,score_raw,json_path,source
k,aime25x8,1,DeepSeek-R1-Distill-Qwen-1.5B_pissa,PiSSA,300,0.0,0.0,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/DeepSeek_R1_Distill_Qwen_1_5B_pissa/DeepSeek-R1-Distill-Qwen-1.5B_pissa__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,8,DeepSeek-R1-Distill-Qwen-1.5B_pissa,PiSSA,300,0.0,0.0,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/DeepSeek_R1_Distill_Qwen_1_5B_pissa/DeepSeek-R1-Distill-Qwen-1.5B_pissa__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,16,DeepSeek-R1-Distill-Qwen-1.5B_pissa,PiSSA,300,0.1,0.1,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/DeepSeek_R1_Distill_Qwen_1_5B_pissa/DeepSeek-R1-Distill-Qwen-1.5B_pissa__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,32,DeepSeek-R1-Distill-Qwen-1.5B_pissa,PiSSA,300,0.1,0.1,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/DeepSeek_R1_Distill_Qwen_1_5B_pissa/DeepSeek-R1-Distill-Qwen-1.5B_pissa__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,64,DeepSeek-R1-Distill-Qwen-1.5B_pissa,PiSSA,300,0.2,0.2,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/DeepSeek_R1_Distill_Qwen_1_5B_pissa/DeepSeek-R1-Distill-Qwen-1.5B_pissa__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,128,DeepSeek-R1-Distill-Qwen-1.5B_pissa,PiSSA,300,0.4,0.4,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/DeepSeek_R1_Distill_Qwen_1_5B_pissa/DeepSeek-R1-Distill-Qwen-1.5B_pissa__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,1,DeepSeek-R1-Distill-Qwen-1.5B_rslora,RSLoRA,300,0.0,0.0,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/DeepSeek_R1_Distill_Qwen_1_5B_rslora/DeepSeek-R1-Distill-Qwen-1.5B_rslora__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,8,DeepSeek-R1-Distill-Qwen-1.5B_rslora,RSLoRA,300,0.0,0.0,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/DeepSeek_R1_Distill_Qwen_1_5B_rslora/DeepSeek-R1-Distill-Qwen-1.5B_rslora__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,16,DeepSeek-R1-Distill-Qwen-1.5B_rslora,RSLoRA,300,0.0,0.0,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/DeepSeek_R1_Distill_Qwen_1_5B_rslora/DeepSeek-R1-Distill-Qwen-1.5B_rslora__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,32,DeepSeek-R1-Distill-Qwen-1.5B_rslora,RSLoRA,300,0.0,0.0,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/DeepSeek_R1_Distill_Qwen_1_5B_rslora/DeepSeek-R1-Distill-Qwen-1.5B_rslora__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
