mode,dataset,k,algo,algo_display,step,score,score_raw,json_path,source
k,aime25x8,1,Qwen2.5-math-1.5B_rslora,RSLoRA,313,4.5,4.5,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_1_5B_rslora/Qwen2.5-math-1.5B_rslora__global_step_313/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,1,Base Model,Base Model,-1,4.0,4.0,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/base__Qwen2.5-math-1.5B/g1/aime25x8/test_qwen25-math-cot_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,1,Qwen2.5-math-1.5B_vanilla,LoRA,313,0.0,0.0,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_1_5B_vanilla/Qwen2.5-math-1.5B_vanilla__global_step_313/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,1,Qwen2.5-math-1.5B_adalora,AdaLoRA,300,4.7,4.7,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_1_5B_adalora/Qwen2.5-math-1.5B_adalora__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,8,Qwen2.5-math-1.5B_adalora,AdaLoRA,300,17.3,17.3,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_1_5B_adalora/Qwen2.5-math-1.5B_adalora__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,16,Qwen2.5-math-1.5B_adalora,AdaLoRA,300,21.8,21.8,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_1_5B_adalora/Qwen2.5-math-1.5B_adalora__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,32,Qwen2.5-math-1.5B_adalora,AdaLoRA,300,27.4,27.4,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_1_5B_adalora/Qwen2.5-math-1.5B_adalora__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,64,Qwen2.5-math-1.5B_adalora,AdaLoRA,300,34.2,34.2,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_1_5B_adalora/Qwen2.5-math-1.5B_adalora__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,128,Qwen2.5-math-1.5B_adalora,AdaLoRA,300,41.2,41.2,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_1_5B_adalora/Qwen2.5-math-1.5B_adalora__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,1,ver_rule_grpo_nocurl_Qwen2.5-math-1.5B,FFT,313,8.5,8.5,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/ver_rule_grpo_Qwen2.5-math-1.5B/ver_rule_grpo_nocurl_Qwen2.5-math-1.5B__global_step_313/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
