mode,dataset,k,algo,algo_display,step,score,score_raw,json_path,source
k,aime25x8,1,Qwen2.5-math-7B_pissa,PiSSA,300,0.0,0.0,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_7B_pissa/Qwen2.5-math-7B_pissa__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,8,Qwen2.5-math-7B_pissa,PiSSA,300,0.1,0.1,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_7B_pissa/Qwen2.5-math-7B_pissa__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,16,Qwen2.5-math-7B_pissa,PiSSA,300,0.3,0.3,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_7B_pissa/Qwen2.5-math-7B_pissa__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,32,Qwen2.5-math-7B_pissa,PiSSA,300,0.5,0.5,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_7B_pissa/Qwen2.5-math-7B_pissa__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,64,Qwen2.5-math-7B_pissa,PiSSA,300,1.0,1.0,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_7B_pissa/Qwen2.5-math-7B_pissa__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,128,Qwen2.5-math-7B_pissa,PiSSA,300,2.1,2.1,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_7B_pissa/Qwen2.5-math-7B_pissa__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,1,Base Model,Base Model,-1,5.8,5.8,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/base__Qwen2.5-math-7B/g1/aime25x8/test_qwen25-math-cot_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,8,Base Model,Base Model,-1,23.3,23.3,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/base__Qwen2.5-math-7B/g1/aime25x8/test_qwen25-math-cot_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,1,Qwen2.5-math-7B_vanilla,LoRA,300,12.1,12.1,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_7B_vanilla/Qwen2.5-math-7B_vanilla__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,8,Qwen2.5-math-7B_vanilla,LoRA,300,24.8,24.8,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_7B_vanilla/Qwen2.5-math-7B_vanilla__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,16,Qwen2.5-math-7B_vanilla,LoRA,300,29.9,29.9,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_7B_vanilla/Qwen2.5-math-7B_vanilla__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,32,Qwen2.5-math-7B_vanilla,LoRA,300,36.2,36.2,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_7B_vanilla/Qwen2.5-math-7B_vanilla__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,64,Qwen2.5-math-7B_vanilla,LoRA,300,43.2,43.2,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_7B_vanilla/Qwen2.5-math-7B_vanilla__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,128,Qwen2.5-math-7B_vanilla,LoRA,300,50.0,50.0,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Qwen2_5_math_7B_vanilla/Qwen2.5-math-7B_vanilla__global_step_300/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
