mode,dataset,k,algo,algo_display,step,score,score_raw,json_path,source
k,aime25x8,1,Llama-3.2-3B-Instruct_opra_opra,RCA (Ours),100,0.4,0.4,/home/caixq/project/LLM_EVAL/eval_results/OPRA-K-ABLATION_think-boxed/json/Llama_3_2_3B_Instruct_opra_r32_k16/Llama-3.2-3B-Instruct_opra_r32_k16__global_step_100/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,opra_principle_best
k,aime25x8,8,Llama-3.2-3B-Instruct_opra_opra,RCA (Ours),100,2.5,2.5,/home/caixq/project/LLM_EVAL/eval_results/OPRA-K-ABLATION_think-boxed/json/Llama_3_2_3B_Instruct_opra_r32_k16/Llama-3.2-3B-Instruct_opra_r32_k16__global_step_100/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,opra_principle_best
k,aime25x8,16,Llama-3.2-3B-Instruct_opra_opra,RCA (Ours),100,4.5,4.5,/home/caixq/project/LLM_EVAL/eval_results/OPRA-K-ABLATION_think-boxed/json/Llama_3_2_3B_Instruct_opra_r32_k16/Llama-3.2-3B-Instruct_opra_r32_k16__global_step_100/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,opra_principle_best
k,aime25x8,32,Llama-3.2-3B-Instruct_opra_opra,RCA (Ours),100,7.5,7.5,/home/caixq/project/LLM_EVAL/eval_results/OPRA-K-ABLATION_think-boxed/json/Llama_3_2_3B_Instruct_opra_r32_k16/Llama-3.2-3B-Instruct_opra_r32_k16__global_step_100/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,opra_principle_best
k,aime25x8,64,Llama-3.2-3B-Instruct_opra_opra,RCA (Ours),100,11.3,11.3,/home/caixq/project/LLM_EVAL/eval_results/OPRA-K-ABLATION_think-boxed/json/Llama_3_2_3B_Instruct_opra_r32_k16/Llama-3.2-3B-Instruct_opra_r32_k16__global_step_100/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,opra_principle_best
k,aime25x8,128,Llama-3.2-3B-Instruct_opra_opra,RCA (Ours),100,15.8,15.8,/home/caixq/project/LLM_EVAL/eval_results/OPRA-K-ABLATION_think-boxed/json/Llama_3_2_3B_Instruct_opra_r32_k16/Llama-3.2-3B-Instruct_opra_r32_k16__global_step_100/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,opra_principle_best
k,aime25x8,1,Base Model,Base Model,-1,0.6,0.6,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/base__Llama-3.2-3B-Instruct/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,8,Base Model,Base Model,-1,3.3,3.3,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/base__Llama-3.2-3B-Instruct/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,1,Llama-3.2-3B-Instruct_olora,OLoRA,200,0.1,0.1,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Llama_3_2_3B_Instruct_olora/Llama-3.2-3B-Instruct_olora__global_step_200/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
k,aime25x8,8,Llama-3.2-3B-Instruct_olora,OLoRA,200,0.9,0.9,/home/caixq/project/LLM_EVAL/eval_results/OPRA-LoRA_think-boxed/json/Llama_3_2_3B_Instruct_olora/Llama-3.2-3B-Instruct_olora__global_step_200/g1/aime25x8/test_think-boxed_-1_seed0_t0.6_s0_e-1_think-boxed_metrics.json,eval_root
